Munic;Regiao;COD IBGE;COD IBGE2;Gini;Agua;Banheiro;Lixo;Energia;Densidade;Esperancadevida;Mortalidade_infantil;Prob_sobrevivencia;IDH;IDH_Renda;IDH_Longevidade;IDH_Educacao;Probab_sobrev60;TFT;Taxa_envelhecimento;Taxa_analfabetismo;frequencia_liquida_EM;Expectativa_anos_de_estudo;frequencia_liquida_Superior;perc_com_2_anos_de_de_atraso;Renda_per_capita;Renda_per_capita_nula;Perc_pobres;Perc_extremamente_pobres;Populacao;ISS
Engenheiro Paulo de Frontin (RJ);Centro-Sul Fluminense   ;330180;3301801;0,45;88,92;87,99;99,12;99,85;23,87;73,32;16,5;91,32;0,722;0,674;0,805;0,694;79,69;1,68;9,41;6,83;70,49;9,55;14,38;18,64;529,05;531,54;11,7;8,35;13237;398.151
Guapimirim (RJ);Metropolitana           ;330185;3301850;0,5;89,68;92,17;94,43;100;35,91;73,69;16,72;91,74;0,698;0,692;0,812;0,604;80,55;2,33;6,71;9,35;43,37;8,83;5,68;24,8;594,06;598,14;10,48;5,59;51483;
Iguaba Grande (RJ);Baixadas Litorâneas ;330187;3301876;0,56;83,97;93,62;99,16;99,64;25,6;75,44;13,5;92,81;0,761;0,744;0,841;0,704;82,8;2,01;10,73;5,03;61,99;9,66;12,36;19,82;818,01;818,01;9,25;3,93;22851;1.809.197
Itaboraí (RJ);Metropolitana           ;330190;3301900;0,48;88,73;86,54;93,06;99,85;32,77;73,75;15,04;91,48;0,693;0,69;0,813;0,593;80,02;2,05;6,56;8,05;44,44;8,65;7,66;28,27;584,35;585,53;10,21;6,1;218008;74.835.413
Itaguaí (RJ);Metropolitana           ;330200;3302007;0,47;95,54;93,15;98,83;99,77;37,42;73,84;15,7;91,7;0,715;0,703;0,814;0,638;80,48;2,09;6,08;6,66;48,18;8,9;9,42;22,91;635,5;636,77;8,95;5,74;109091;190.987.340
Italva (RJ);Noroeste Fluminense;330205;3302056;0,47;95,26;98,32;97,01;99,97;18,11;72,52;17,7;90,72;0,688;0,692;0,792;0,595;78,49;1,69;12,4;13,13;57;8,89;14,06;22,58;593,88;596,16;10,16;4,86;14063;606.494
Itaocara (RJ);Noroeste Fluminense;330210;3302106;0,49;96,28;97,59;97,86;99,95;14,59;74,18;15,2;91,94;0,713;0,696;0,82;0,635;80,98;1,77;12,08;13,2;58,08;9,45;12,31;24,95;607,18;610,04;10,53;2,56;22899;
Itaperuna (RJ);Noroeste Fluminense;330220;3302205;0,47;96,62;98,69;98,85;100;18,88;75,24;12,66;92,44;0,73;0,716;0,837;0,649;82,01;1,41;9,51;9,2;53,32;9,14;16,82;21,33;688,83;689,11;6,57;2,62;95841;12.657.528
Itatiaia (RJ);Médio Paraíba        ;330225;3302254;0,51;93,42;98,71;97,83;99,47;26,42;75,16;13,8;92,62;0,737;0,735;0,836;0,652;82,4;2,1;7,1;7,03;46,3;9,36;7,1;20,74;773,48;774,58;7,13;2,31;28783;9.269.458
Japeri (RJ);Metropolitana           ;330227;3302270;0,42;95,7;93,19;84,86;99,92;46,83;73,51;16,2;91,47;0,659;0,637;0,809;0,555;79,99;2,14;5,64;9,05;40,01;8,61;3,14;28,04;420,15;421,84;14,19;6,15;95492;3.676.243
Laje do Muriaé (RJ);Noroeste Fluminense;330230;3302304;0,46;94,61;97,52;98,37;99,78;23,03;72,97;17;91,06;0,668;0,649;0,8;0,575;79,17;2,24;10,12;16,67;49,2;9,24;13,74;24,59;453,97;455,23;14,7;5,65;7487;123.463
Macaé (RJ);Norte Fluminense        ;330240;3302403;0,56;93,88;88,67;98,83;99,91;31,27;74,66;13,6;92,08;0,764;0,792;0,828;0,681;81,26;1,73;4,91;5,19;47,14;8,53;11,75;22,6;1103,42;1105,26;4,63;2,6;206728;355.357.444
Macuco (RJ);Serrana                 ;330245;3302452;0,5;99,39;98,87;99,3;100;27,4;73,03;16,9;91,11;0,703;0,687;0,801;0,631;79,26;2,18;9,07;9,41;58,65;8,86;10,89;27,01;574,96;575,34;13,88;8,06;5269;615.281
Magé (RJ);Metropolitana           ;330250;3302502;0,49;85,89;89,56;96,8;99,85;38,04;74,91;13,34;92,27;0,709;0,685;0,832;0,626;81,65;2,04;7,22;7,21;51,29;8,99;7,33;24,48;567,59;569,72;12,19;8,14;227322;9.945.326
Mangaratiba (RJ);Costa Verde;330260;3302601;0,51;63,9;98,32;99,12;98,8;31,9;75,71;13,1;92,99;0,753;0,746;0,845;0,676;83,18;2,02;8,12;4,88;59,16;9,63;10,08;19,12;832,15;833,8;6,71;3,31;36456;24.668.553
Maricá (RJ);Metropolitana           ;330270;3302700;0,49;93,07;81,23;94,43;99,99;25,53;75,99;12,02;93;0,765;0,761;0,85;0,692;83,22;1,64;8,44;5,3;57,66;9,03;13,35;25,13;910,41;911,12;4,88;3,31;127461;10.747.874
Mendes (RJ);Centro-Sul Fluminense   ;330280;3302809;0,48;93,4;94,13;96,81;99,97;21,66;73,36;16,4;91,35;0,736;0,707;0,806;0,7;79,76;1,52;10,3;6,49;56,85;9,75;13,74;19,71;649,4;649,6;8,63;5,68;17935;743.873
Mesquita (RJ);Metropolitana           ;330285;3302858;0,47;96,45;96,73;98,67;99,95;38,65;75,31;13,97;92,79;0,737;0,704;0,839;0,678;82,76;2,05;7,71;4,05;50,85;9,51;10,43;21,21;640,37;640,99;9,13;5,1;168376;
Miguel Pereira (RJ);Centro-Sul Fluminense   ;330290;3302908;0,55;90,41;96,66;99,24;99,49;22,74;74,68;14,5;92,29;0,745;0,74;0,828;0,675;81,71;1,67;11,79;8,07;54,99;9,28;10,09;22,13;801,63;802,02;7,89;5,59;24642;2.316.247
Miracema (RJ);Noroeste Fluminense;330300;3303005;0,5;97,75;98,6;99,36;99,82;28,77;73,32;16,5;91,32;0,713;0,696;0,805;0,646;79,7;2;10,4;13,23;43,07;8,78;16,49;24,46;608,62;608,83;12,53;3,9;26843;685.918
Natividade (RJ);Noroeste Fluminense;330310;3303104;0,52;97,52;98,28;98,92;99,63;19,13;73,36;16,4;91,35;0,73;0,707;0,806;0,683;79,75;1,71;11,17;13,47;67,98;10,19;14,96;14,74;653,23;653,48;10,15;3,1;15082;1.499.097
Nilópolis (RJ);Metropolitana           ;330320;3303203;0,45;98,61;96,98;99,56;99,83;35,6;73,99;15,75;91,86;0,753;0,731;0,817;0,716;80,81;1,92;8,97;2,47;55,91;9,75;15,53;18,78;755,26;755,26;5,15;2,2;157425;10.569.484
