"X","ano","Janeiro","Fevereiro","Março","Abril","Maio","Junho","Julho","Agosto","Setembro","Outubro","Novembro","Dezembro","GR"
65,2007,17986,17456,20386,18842,18881,17641,17344,16630,16374,16269,15321,16110,"Centro-Oeste"
66,2008,17885,17765,19753,19373,19399,17972,17908,17350,18042,17721,16790,17518,"Centro-Oeste"
67,2009,18469,17671,20328,19371,18379,17248,17286,16647,18278,17736,16895,16886,"Centro-Oeste"
68,2010,18827,17946,20794,19179,18530,17814,18251,17368,17768,17319,16023,16824,"Centro-Oeste"
69,2011,18587,17757,20595,20193,20220,18616,18224,18152,17324,17388,16789,16825,"Centro-Oeste"
70,2012,18658,18664,20647,18935,19632,18113,18407,18325,18052,18858,17331,17926,"Centro-Oeste"
71,2013,19255,18021,20560,20564,20846,18735,19294,18612,19107,19054,17933,18394,"Centro-Oeste"
72,2014,20245,19306,20964,21010,21688,20146,20471,19845,19977,20023,19263,19974,"Centro-Oeste"
73,2015,20277,19409,22705,21712,21736,20106,20285,19991,20834,19611,19088,20071,"Centro-Oeste"
74,2016,19802,19682,22055,20980,21482,19756,19193,18638,18461,17910,16622,17495,"Centro-Oeste"
75,2017,18522,18252,22098,20615,21769,20615,20336,20078,19392,19301,18806,18815,"Centro-Oeste"
